
Date,Name,Year,Letterboxd URI,Rating
2023-08-26,Ocean's Eleven,2001,https://boxd.it/2aZm,4.5
2023-08-31,The Lego Movie,2014,https://boxd.it/4pDO,4
2023-09-10,Shane Gillis: Beautiful Dogs,2023,https://boxd.it/Ijri,4
2023-09-13,White Chicks,2004,https://boxd.it/1SpK,4.5
2023-09-16,Bridesmaids,2011,https://boxd.it/rac,5
2023-09-25,Legally Blonde,2001,https://boxd.it/1ZNa,3
2023-09-27,Joker,2019,https://boxd.it/h4cS,4.5
2023-09-28,Nerve,2016,https://boxd.it/aJIc,3
2023-09-28,Beau Is Afraid,2023,https://boxd.it/u2gE,4.5
2023-09-29,The Flash,2023,https://boxd.it/9twC,0.5
2023-09-29,Scary Movie 3,2003,https://boxd.it/24Be,4
2023-09-30,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,5
2023-10-02,No One Will Save You,2023,https://boxd.it/uUO6,1.5
2023-10-03,Get Out,2017,https://boxd.it/eOCm,5
2023-10-04,No Strings Attached,2011,https://boxd.it/YUs,3
2023-10-05,Past Lives,2023,https://boxd.it/oNB8,4.5
2023-10-07,Identity Thief,2013,https://boxd.it/3GOW,1.5
2023-10-07,A Good Person,2023,https://boxd.it/u8sw,4
2023-10-17,Happy Death Day,2017,https://boxd.it/fDz4,3
2023-10-17,Happy Death Day 2U,2019,https://boxd.it/ixt6,1.5
2023-10-18,The Hunt,2020,https://boxd.it/iE9i,3.5
2023-10-21,The Final Girls,2015,https://boxd.it/9gv2,1.5
2023-10-25,No Hard Feelings,2023,https://boxd.it/xouu,1.5
2023-10-25,Normal People,2020,https://boxd.it/q2VY,5
2023-10-31,Five Nights at Freddy's,2023,https://boxd.it/ikHu,3
2023-11-02,Brokeback Mountain,2005,https://boxd.it/2b2q,3.5
2023-11-08,The Hunger Games: Catching Fire,2013,https://boxd.it/3sAw,5
2023-11-11,The Intern,2015,https://boxd.it/7AOE,4
2023-11-12,The Hunger Games: Mockingjay – Part 2,2015,https://boxd.it/4hk0,3
2023-11-13,Bottoms,2023,https://boxd.it/uGf2,4
2023-11-13,"Red, White & Royal Blue",2023,https://boxd.it/z3iG,3
2023-11-16,Matilda,1996,https://boxd.it/1VhY,5
2023-11-18,The Devil Wears Prada,2006,https://boxd.it/2awE,3
2023-11-23,Pain Hustlers,2023,https://boxd.it/wBNW,2
2023-12-01,Fire Island,2022,https://boxd.it/vV8C,3.5
2023-12-02,The Birdcage,1996,https://boxd.it/1UTi,5
2023-12-11,The Fall of the House of Usher,2023,https://boxd.it/IWYg,4
2023-12-12,Leave the World Behind,2023,https://boxd.it/re0i,4
2023-12-20,Love Actually,2003,https://boxd.it/2aeU,5
2023-12-21,Die Hard,1988,https://boxd.it/2a7u,4
2023-12-22,Saltburn,2023,https://boxd.it/z4eg,3.5
2023-12-25,In Time,2011,https://boxd.it/FPS,2
2023-12-25,Hidden Figures,2016,https://boxd.it/dgS4,4
2023-12-30,The Hunger Games: The Ballad of Songbirds & Snakes,2023,https://boxd.it/pZCY,3.5
2023-12-31,Love at First Sight,2023,https://boxd.it/bUmS,2
2024-01-03,Dave Chappelle: The Dreamer,2023,https://boxd.it/K7vm,4
2024-01-03,Lady Bird,2017,https://boxd.it/dGNE,5
2024-01-05,Kodachrome,2017,https://boxd.it/ePjK,2
2024-01-06,She's All That,1999,https://boxd.it/1Wz0,2
2024-01-07,Priscilla,2023,https://boxd.it/Cz3k,5
2024-01-08,Erin Brockovich,2000,https://boxd.it/2al2,4.5
2024-01-11,Instant Family,2018,https://boxd.it/hHpQ,3.5
2024-01-11,Manchester by the Sea,2016,https://boxd.it/b2L0,4.5
2024-01-14,NYAD,2023,https://boxd.it/xOSM,3
